mark,fuel,vol_engine,year,mileage,price
0,0,1248,2015,139568,35900
0,0,1499,2018,31991,78501
0,0,1248,2016,47600,30800
0,0,1598,2017,121203,51900
0,0,1248,2017,119965,44700
0,0,1248,2016,201658,29000
0,0,1598,2014,178666,28900
0,0,1248,2015,113000,34900
0,0,1598,2012,237000,24800
0,0,1248,2017,137000,39900
0,0,1248,2016,154000,35900
0,0,1248,2017,59339,55300
0,0,1598,2016,137445,34700
0,0,1248,2016,141859,39900
0,0,1598,2012,195000,25900
0,0,1598,2015,180000,32900
0,0,1499,2018,107515,62000
0,0,1598,2017,149000,39852
0,0,1248,2017,101800,44990
0,0,1598,2012,164000,15500
0,1,1368,2016,124000,40900
0,0,1600,2018,91000,53600
0,0,1598,2016,155450,37500
0,0,1598,2015,125327,39900
0,0,1248,2018,185000,39975
0,0,1248,2015,195000,20999
0,0,1248,2015,135000,39000
0,0,1499,2018,135403,62000
0,0,1598,2018,117320,53874
0,0,1598,2016,133700,38900
0,0,1248,2015,139568,35900
0,0,1499,2018,31991,78501
0,0,1248,2016,47600,30800
0,0,1598,2017,121203,51900
0,0,1248,2017,119965,44700
0,0,1248,2016,201658,29000
0,0,1598,2014,178666,28900
0,0,1248,2015,113000,34900
0,0,1598,2012,237000,24800
0,0,1248,2017,137000,39900
0,0,1248,2016,154000,35900
0,0,1248,2017,59339,55300
0,0,1598,2016,137445,34700
0,0,1248,2016,141859,39900
0,0,1598,2012,195000,25900
0,0,1598,2015,180000,32900
0,0,1499,2018,107515,62000
0,0,1598,2017,149000,39852
0,0,1248,2017,101800,44990
0,0,1598,2012,164000,15500
0,1,1368,2016,124000,40900
0,0,1600,2018,91000,53600
0,0,1598,2016,155450,37500
0,0,1598,2015,125327,39900
0,0,1248,2018,185000,39975
0,0,1248,2015,195000,20999
0,0,1248,2015,135000,39000
0,0,1499,2018,135403,62000
0,0,1598,2018,117320,53874
0,0,1598,2016,133700,38900
0,0,1910,2007,229000,14900
0,0,1910,2008,253477,9999
0,0,1910,2008,230000,19500
0,2,1796,2007,208700,14900
0,1,1998,2007,245626,11900
0,1,1796,2007,180000,18900
0,1,1796,2008,187000,12900
0,0,1910,2007,253000,7500
0,0,1910,2008,214000,13000
0,0,1910,2007,236000,15900
0,0,1910,2008,180000,13500
0,0,1910,2007,229000,14900
0,0,1910,2008,253477,9999
0,0,1910,2008,230000,19500
0,2,1796,2007,208700,14900
0,1,1998,2007,245626,11900
0,1,1796,2007,180000,18900
0,1,1796,2008,187000,12900
0,0,1910,2007,253000,7500
0,0,1910,2008,214000,13000
0,0,1910,2007,236000,15900
0,0,1910,2008,180000,13500
0,1,2198,2008,206570,18900
0,0,1910,2008,232000,18900
0,0,1910,2007,221000,13500
0,1,1598,2007,132000,13900
0,0,1910,2008,223000,16950
0,1,1398,2013,101514,29900
0,2,1398,2014,98317,36900
0,1,1364,2017,96511,48900
0,1,1398,2013,141399,31300
0,1,1398,2014,60936,40900
0,1,1398,2015,91773,35700
0,1,1398,2018,34000,43500
0,1,1398,2014,100053,31500
0,1,1398,2014,109330,32500
0,1,1398,2014,121311,33500
0,1,1398,2013,91512,32900
0,1,1398,2018,8049,46600
0,1,1229,2014,81932,27900
0,1,1229,2017,91955,36500
0,1,1398,2015,39007,38900
0,1,1229,2015,91000,35300
0,1,1229,2018,37000,37900
0,1,1229,2014,78000,20999
0,1,1398,2019,21000,47800
0,1,1229,2013,50000,22900
0,1,1398,2013,102748,28500
0,1,1398,2015,10000,31000
0,1,1398,2013,130000,33900
0,1,1398,2014,36434,31999
0,1,1398,2013,18690,26999
0,1,1398,2019,27900,49000
0,1,1398,2013,162663,24900
0,1,1398,2013,101514,29900
0,2,1398,2014,98317,36900
0,1,1364,2017,96511,48900
0,1,1398,2013,141399,31300
0,1,1398,2014,60936,40900
0,1,1398,2015,91773,35700
0,1,1398,2018,34000,43500
0,1,1398,2014,100053,31500
0,1,1398,2014,109330,32500
0,1,1398,2014,121311,33500
0,1,1398,2013,91512,32900
0,1,1398,2018,8049,46600
0,1,1229,2014,81932,27900
0,1,1229,2017,91955,36500
0,1,1398,2015,39007,38900
0,1,1229,2015,91000,35300
0,1,1229,2018,37000,37900
0,1,1229,2014,78000,20999
0,1,1398,2019,21000,47800
0,1,1229,2013,50000,22900
0,1,1398,2013,102748,28500
0,1,1398,2015,10000,31000
0,1,1398,2013,130000,33900
0,1,1398,2014,36434,31999
0,1,1398,2013,18690,26999
0,1,1398,2019,27900,49000
0,1,1398,2013,162663,24900
0,1,1398,2015,67661,39900
0,1,1398,2018,43000,34900
0,1,1229,2015,61000,30900
0,1,1398,2015,55000,32900
0,1,1398,2017,22060,38900
0,1,1398,2015,14000,31900
0,1,1398,2014,50158,31900
0,1,1398,2016,80637,32999
0,2,1400,2014,120000,25900
0,1,1229,2016,27053,32900
0,1,1398,2015,122298,28900
0,1,1398,2016,78000,35900
0,1,1229,2013,170000,28400
0,2,1398,2013,196400,24500
0,1,1398,2013,140800,29900
0,1,1398,2015,120480,49900
0,1,1229,2013,72000,25900
0,1,1398,2013,130000,26900
0,1,1398,2013,77900,29900
0,1,1229,2016,67000,35900
0,1,1229,2013,98793,26999
0,1,1229,2018,27016,39900
0,1,1398,2018,15716,33900
0,1,1398,2019,14961,55000
0,1,1200,2013,79000,32500
0,1,1398,2018,6100,44280
0,1,1229,2014,155000,24950
0,1,1229,2014,48000,36999
0,1,1398,2015,57500,34900
0,1,1242,2011,100942,16300
0,1,1242,2009,57700,13400
0,1,1242,2010,155324,21500
0,1,1200,2009,190000,13999
0,0,1248,2008,142353,12900
0,1,1242,2009,53000,26999
0,1,1200,2010,111000,16700
0,1,1229,2009,134000,12999
0,1,1242,2010,235000,8800
0,1,1242,2010,109079,17900
0,1,1242,2009,151455,11999
0,0,1248,2008,154000,13900
0,1,1242,2012,120000,17990
0,1,1242,2008,78000,12900
0,1,1242,2010,123000,16300
0,1,1242,2012,153000,15500
0,1,1242,2008,159960,14900
0,1,1242,2011,100942,16300
0,1,1242,2009,57700,13400
0,1,1242,2010,155324,21500
0,1,1200,2009,190000,13999
0,0,1248,2008,142353,12900
0,1,1242,2009,53000,26999
0,1,1200,2010,111000,16700
0,1,1229,2009,134000,12999
0,1,1242,2010,235000,8800
0,1,1242,2010,109079,17900
0,1,1242,2009,151455,11999
0,0,1248,2008,154000,13900
0,1,1242,2012,120000,17990
0,1,1242,2008,78000,12900
0,1,1242,2010,123000,16300
0,1,1242,2012,153000,15500
0,1,1242,2008,159960,14900
0,1,1242,2008,140152,13500
0,0,1248,2007,213654,3699
0,3,1398,2011,104000,53500
0,3,1398,2013,148754,48800
0,3,1398,2012,176000,49300
0,3,1398,2012,239000,42900
0,3,1398,2013,207856,54900
0,3,1398,2012,171140,58900
0,3,1398,2012,230735,46900
0,3,1398,2015,222220,76700
0,0,1991,2007,211900,21300
0,0,1991,2007,227854,22900
0,0,2231,2014,237000,36900
0,0,1991,2009,165256,29900
0,0,2231,2015,81482,51000
0,0,1991,2010,145000,27900
0,0,1991,2007,168000,27900
0,0,1991,2008,236000,22900
0,0,1991,2008,194654,22900
0,0,1991,2009,199000,28400
0,0,2231,2014,133800,39800
0,0,1991,2008,147900,25900
0,0,1991,2007,207062,21900
0,0,2231,2013,181100,37900
0,0,2198,2014,97000,46000
0,0,1991,2007,197384,23000
0,0,1991,2008,200000,27060
0,0,1991,2008,152000,23500
0,0,2231,2014,141923,53900
0,0,1991,2007,174000,23800
0,0,2231,2011,151000,32500
0,0,1991,2008,227000,23500
0,1,2405,2007,220630,24900
0,0,2200,2011,111000,39999
0,0,2231,2011,188000,32000
0,0,1991,2007,159000,27300
0,0,1991,2008,139000,28900
0,0,1991,2007,211900,21300
0,0,1991,2007,227854,22900
0,0,2231,2014,237000,36900
0,0,1991,2009,165256,29900
0,0,2231,2015,81482,51000
0,0,1991,2010,145000,27900
0,0,1991,2007,168000,27900
0,0,1991,2008,236000,22900
0,0,1991,2008,194654,22900
0,0,1991,2009,199000,28400
0,0,2231,2014,133800,39800
0,0,1991,2008,147900,25900
0,0,1991,2007,207062,21900
0,0,2231,2013,181100,37900
0,0,2198,2014,97000,46000
0,0,1991,2007,197384,23000
0,0,1991,2008,200000,27060
0,0,1991,2008,152000,23500
0,0,2231,2014,141923,53900
0,0,1991,2007,174000,23800
0,0,2231,2011,151000,32500
0,0,1991,2008,227000,23500
0,1,2405,2007,220630,24900
0,0,2200,2011,111000,39999
0,0,2231,2011,188000,32000
